"situation","Date","pla","somupvtsem","laimax","laisen_n","hauteur","raint","trg_n","ilevs","iamfs","ilaxs","densite","demande","Plant","Dominance","algorithm"
"usm_1",2018-05-26,"sor",0,0,0,0,0,16.9,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-27,"mai",0,0,0,0,0,22,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-27,"mai",0,0,0,0,0,22,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-27,"sor",0,0,0,0,0,22,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-27,"sor",0,0,0,0,0,22,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-28,"mai",0,0,0,0,0,15.6,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-28,"mai",0,0,0,0,0,15.6,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-28,"sor",0,0,0,0,0,15.6,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-28,"sor",0,0,0,0,0,15.6,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-29,"mai",0,0,0,0,0,21.2,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-29,"mai",0,0,0,0,0,21.2,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-29,"sor",0,0,0,0,0,21.2,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-29,"sor",0,0,0,0,0,21.2,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-30,"mai",0,0,0,0,0,8.9,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-30,"mai",0,0,0,0,0,8.9,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-30,"sor",0,0,0,0,0,8.9,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-30,"sor",0,0,0,0,0,8.9,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-31,"mai",0,0,0,0,0,21.4,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-31,"mai",0,0,0,0,0,21.4,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-31,"sor",0,0,0,0,0,21.4,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-31,"sor",0,0,0,0,0,21.4,181,226,237,3.125,0,"sorghum","Principal","Beer"
